Technology,Age,CustomerSince,SupportCallsLastYear,AverageBill,ChurnIndicator,churn_label
4G,24,4/12/13 9:27 AM,1,71,0.014,0
phone,13,4/11/11 9:27 AM,1,66,0.018,0
landline,52,5/25/15 9:27 AM,0,17,0.002,0
phone,69,12/15/12 9:27 AM,7,93,0.033,0
fiber,67,3/31/15 9:27 AM,2,78,0.007,0
phone,45,5/8/13 9:27 AM,1,23,0.029,0
fiber,10,5/4/13 9:27 AM,7,12,0.44,0
landline,41,12/26/13 9:27 AM,1,66,0.004,0
phone,54,10/6/14 9:27 AM,0,69,0.002,0
phone,70,5/7/14 9:27 AM,1,75,0.005,0
4G,1,6/6/13 9:27 AM,1,71,0.013,0
phone,59,1/1/13 9:27 AM,1,51,0.015,0
4G,16,3/13/15 10:27 AM,0,106,0.001,0
phone,25,12/22/11 9:27 AM,1,20,0.05,0
4G,37,5/13/14 9:27 AM,0,75,0.004,0
landline,25,8/31/12 9:27 AM,7,11,0.151,0
4G,33,9/19/14 9:27 AM,0,34,0.007,0
phone,25,9/8/14 9:27 AM,1,86,0.004,0
phone,46,12/7/10 9:27 AM,4,63,0.05,0
phone,20,8/1/15 9:27 AM,1,76,0.001,0
4G,75,9/13/10 9:27 AM,0,108,0.009,0
phone,15,11/19/11 9:27 AM,2,86,0.018,0
fiber,42,12/28/10 9:27 AM,3,53,0.095,0
fiber,32,8/22/11 9:27 AM,8,106,0.092,0
landline,2,12/31/12 9:27 AM,0,41,0.005,0
4G,69,5/21/15 9:27 AM,0,32,0.003,0
landline,52,7/6/10 9:27 AM,4,91,0.019,0
phone,46,10/5/11 9:27 AM,0,88,0.006,0
landline,17,4/18/13 9:27 AM,1,56,0.006,0
4G,47,7/24/12 9:27 AM,1,80,0.016,0
phone,75,5/31/12 9:27 AM,0,10,0.045,0
landline,37,5/23/12 9:27 AM,3,59,0.015,0
fiber,32,9/12/14 9:27 AM,2,16,0.059,0
phone,20,5/8/11 9:27 AM,5,21,0.166,0
4G,39,7/24/11 9:27 AM,0,12,0.069,0
phone,53,3/1/13 9:27 AM,3,79,0.018,0
4G,21,9/28/14 9:27 AM,0,29,0.008,0
phone,43,8/31/10 9:27 AM,1,64,0.021,0
landline,10,9/9/13 9:27 AM,1,49,0.006,0
4G,42,11/9/10 9:27 AM,8,89,0.098,0
landline,34,1/20/12 9:27 AM,0,79,0.003,0
4G,42,10/18/15 9:27 AM,2,105,0.001,0
landline,75,12/27/12 9:27 AM,7,24,0.062,0
phone,35,7/2/11 9:27 AM,0,100,0.006,0
fiber,37,10/17/14 9:27 AM,1,80,0.007,0
phone,15,1/20/15 9:27 AM,1,32,0.007,0
landline,5,12/24/12 9:27 AM,1,20,0.019,0
phone,14,7/19/13 9:27 AM,6,62,0.034,0
4G,29,9/7/12 9:27 AM,0,33,0.019,0
fiber,37,7/24/11 9:27 AM,2,105,0.032,0
phone,44,4/10/14 9:27 AM,0,52,0.004,0
landline,66,1/13/13 9:27 AM,6,28,0.046,0
phone,10,7/4/10 9:27 AM,0,44,0.016,0
fiber,48,9/7/12 9:27 AM,0,65,0.013,0
fiber,36,9/14/12 9:27 AM,9,53,0.155,0
landline,56,8/6/15 9:27 AM,0,36,0.001,0
phone,3,5/12/11 9:27 AM,0,81,0.007,0
landline,14,7/3/14 9:27 AM,0,64,0.001,0
4G,16,5/11/14 9:27 AM,2,34,0.027,0
fiber,7,3/30/13 10:27 AM,0,85,0.008,0
4G,54,8/25/10 9:27 AM,0,40,0.025,0
phone,4,6/20/14 9:27 AM,4,67,0.014,0
fiber,26,8/30/11 9:27 AM,7,67,0.129,0
4G,40,7/19/10 9:27 AM,6,27,0.265,0
fiber,47,9/4/14 9:27 AM,1,69,0.009,0
landline,13,4/11/13 9:27 AM,2,42,0.012,0
phone,35,2/7/12 9:27 AM,1,55,0.018,0
phone,45,12/13/10 9:27 AM,0,92,0.007,0
4G,53,6/4/11 9:27 AM,0,106,0.008,0
landline,60,2/4/13 9:27 AM,0,23,0.008,0
fiber,57,9/20/15 9:27 AM,0,53,0.001,0
fiber,3,10/15/12 9:27 AM,4,46,0.087,0
fiber,21,2/24/13 9:27 AM,0,76,0.009,0
landline,69,10/8/13 9:27 AM,9,72,0.019,0
4G,34,7/10/10 9:27 AM,0,65,0.016,0
4G,57,1/19/12 9:27 AM,7,63,0.094,0
phone,53,10/14/10 9:27 AM,2,85,0.023,0
